challenge,chem_fp,groupsplit,conctype,set,fold,chem_prop,tax_pdm,tax_prop,exp,best_hp,idx_hp,n_estimators,eta,gamma,max_depth,min_child_weight,subsample,r2,rmse,mae,pearson
s-F2F-1,Morgan,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,151,100,0.2,0,3,3,1.0,0.5146,1.01132,0.76744,0.72976
s-F2F-1,ToxPrint,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,167,100,0.2,0,6,5,1.0,0.93168,0.38693,0.26505,0.96558
s-F2F-1,ToxPrint,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,167,100,0.2,0,6,5,1.0,0.85649,0.55995,0.36885,0.92558
s-F2F-1,ToxPrint,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,321,50,0.3,0,9,5,1.0,0.95249,0.3471,0.23024,0.97605
s-F2F-1,ToxPrint,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,321,50,0.3,0,9,5,1.0,0.87415,0.56399,0.36507,0.93512
s-F2F-1,ToxPrint,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,82,100,0.1,1,9,5,0.5,0.92,0.42178,0.29423,0.95964
s-F2F-1,ToxPrint,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,82,100,0.1,1,9,5,0.5,0.4873,1.02745,0.78384,0.71934
s-F2F-1,ToxPrint,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,155,100,0.2,0,3,5,1.0,0.88796,0.53626,0.38217,0.94334
s-F2F-1,ToxPrint,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,155,100,0.2,0,3,5,1.0,0.57301,1.02004,0.7955,0.76962
s-F2F-1,mol2vec,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,18,100,0.1,0,6,3,0.5,0.94302,0.38016,0.26235,0.97127
s-F2F-1,mol2vec,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,18,100,0.1,0,6,3,0.5,0.87339,0.56569,0.37205,0.93461
s-F2F-1,mol2vec,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,34,100,0.1,0,9,5,0.5,0.94418,0.34979,0.22823,0.97177
s-F2F-1,mol2vec,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,34,100,0.1,0,9,5,0.5,0.85604,0.56098,0.36146,0.92536
s-F2F-1,mol2vec,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,215,100,0.2,1,6,5,1.0,0.92787,0.40038,0.27735,0.96394
s-F2F-1,mol2vec,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,215,100,0.2,1,6,5,1.0,0.51302,1.00364,0.78205,0.73137
s-F2F-1,mol2vec,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,63,100,0.1,1,6,1,1.0,0.93895,0.39583,0.27582,0.96961
s-F2F-1,mol2vec,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,63,100,0.1,1,6,1,1.0,0.55695,1.02565,0.80102,0.76084
s-F2F-1,Mordred,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,46,100,0.1,0,12,5,0.5,0.954,0.34157,0.21921,0.97678
s-F2F-1,Mordred,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,46,100,0.1,0,12,5,0.5,0.87575,0.56088,0.36125,0.93595
s-F2F-1,Mordred,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,86,100,0.1,1,12,1,0.5,0.937,0.37162,0.26027,0.96826
s-F2F-1,Mordred,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,86,100,0.1,1,12,1,0.5,0.85642,0.56015,0.36907,0.92549
s-F2F-1,Mordred,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,14,100,0.1,0,6,1,0.5,0.93793,0.37142,0.25553,0.96865
s-F2F-1,Mordred,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,14,100,0.1,0,6,1,0.5,0.54245,0.97974,0.75758,0.74754
s-F2F-1,Mordred,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,211,100,0.2,1,6,3,1.0,0.93786,0.39921,0.27885,0.96889
s-F2F-1,Mordred,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,211,100,0.2,1,6,3,1.0,0.61209,0.98112,0.76612,0.79438
s-F2F-2,MACCS,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,42,100,0.1,0,12,3,0.5,0.98346,0.21016,0.13076,0.99175
s-F2F-2,MACCS,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,42,100,0.1,0,12,3,0.5,0.93399,0.41899,0.24415,0.96649
s-F2F-2,MACCS,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,186,100,0.2,0,12,3,0.5,0.98472,0.18319,0.10477,0.99234
s-F2F-2,MACCS,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,186,100,0.2,0,12,3,0.5,0.9192,0.42079,0.24106,0.95887
s-F2F-2,MACCS,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,155,100,0.2,0,3,5,1.0,0.93107,0.41446,0.28168,0.96548
s-F2F-2,MACCS,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,155,100,0.2,0,3,5,1.0,0.61286,0.94908,0.68855,0.79795
s-F2F-2,MACCS,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,292,50,0.3,0,3,3,0.5,0.8991,0.45648,0.31609,0.94895
s-F2F-2,MACCS,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,292,50,0.3,0,3,3,0.5,0.56516,0.92506,0.68805,0.76434
s-F2F-2,pcp,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,190,100,0.2,0,12,5,0.5,0.98468,0.20233,0.12436,0.99232
s-F2F-2,pcp,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,190,100,0.2,0,12,5,0.5,0.93448,0.41721,0.24371,0.96672
s-F2F-2,pcp,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,311,100,0.3,0,6,5,1.0,0.97794,0.2201,0.13934,0.98897
s-F2F-2,pcp,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,311,100,0.3,0,6,5,1.0,0.92338,0.4097,0.24244,0.96097
s-F2F-2,pcp,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,150,100,0.2,0,3,3,0.5,0.93087,0.4149,0.28505,0.96527
s-F2F-2,pcp,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,150,100,0.2,0,3,3,0.5,0.63688,0.91522,0.67125,0.81321
s-F2F-2,pcp,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,94,100,0.1,1,12,5,0.5,0.95977,0.28841,0.19274,0.98009
s-F2F-2,pcp,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,94,100,0.1,1,12,5,0.5,0.54007,0.93914,0.69142,0.75452
s-F2F-2,Morgan,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,191,100,0.2,0,12,5,1.0,0.9872,0.18493,0.10599,0.99359
s-F2F-2,Morgan,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,191,100,0.2,0,12,5,1.0,0.93169,0.42604,0.23696,0.96534
