challenge,chem_fp,groupsplit,conctype,set,fold,chem_prop,tax_pdm,tax_prop,exp,best_hp,idx_hp,n_estimators,eta,gamma,max_depth,min_child_weight,subsample,r2,rmse,mae,pearson
t-C2C,MACCS,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,46,100,0.1,0,12,5,0.5,0.93536,0.47759,0.28278,0.96732
t-C2C,MACCS,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,46,100,0.1,0,12,5,0.5,0.83144,0.76963,0.48539,0.91234
t-F2F,MACCS,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,39,100,0.1,0,12,1,1.0,0.971,0.2798,0.1711,0.98548
t-F2F,MACCS,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,39,100,0.1,0,12,1,1.0,0.90815,0.49711,0.31123,0.95298
t-A2A,MACCS,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,12,50,0.1,0,6,1,0.5,0.85674,0.53634,0.37258,0.92683
t-A2A,MACCS,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,12,50,0.1,0,6,1,0.5,0.68158,0.78749,0.57548,0.82847
t-A2A,MACCS,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,86,100,0.1,1,12,1,0.5,0.81677,0.60108,0.43356,0.90422
t-A2A,MACCS,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,86,100,0.1,1,12,1,0.5,0.50329,0.98206,0.7573,0.73809
t-F2F,MACCS,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,163,100,0.2,0,6,3,1.0,0.91898,0.42526,0.29311,0.95913
t-F2F,MACCS,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,163,100,0.2,0,6,3,1.0,0.57477,0.96588,0.74816,0.76852
t-C2C,MACCS,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,90,100,0.1,1,12,3,0.5,0.91519,0.54816,0.35556,0.95706
t-C2C,MACCS,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,90,100,0.1,1,12,3,0.5,0.65145,1.09047,0.809,0.81541
