chem_fp,groupsplit,conctype,set,fold,chem_prop,tax_pdm,tax_prop,exp,best_hp,idx_hp,n_estimators,eta,gamma,max_depth,min_child_weight,subsample,r2,rmse,mae,pearson
none,totallyrandom,mass,train,mean,chemprop,none,none,none,True,315,100,0.3,0,9,1,1.0,0.83782,0.61023,0.41117,0.91534
none,totallyrandom,mass,valid,mean,chemprop,none,none,none,True,315,100,0.3,0,9,1,1.0,0.8087,0.66215,0.45237,0.89936
none,totallyrandom,molar,train,mean,chemprop,none,none,none,True,331,100,0.3,0,12,3,1.0,0.86236,0.60959,0.40925,0.92864
none,totallyrandom,molar,valid,mean,chemprop,none,none,none,True,331,100,0.3,0,12,3,1.0,0.83838,0.66,0.45153,0.91571
none,occurrence,molar,train,mean,chemprop,none,none,none,True,144,50,0.2,0,3,1,0.5,0.7609,0.79357,0.59289,0.87333
none,occurrence,molar,valid,mean,chemprop,none,none,none,True,144,50,0.2,0,3,1,0.5,0.53613,1.09745,0.86139,0.7436
none,occurrence,mass,train,mean,chemprop,none,none,none,True,56,50,0.1,1,3,5,0.5,0.67241,0.8551,0.64896,0.82307
none,occurrence,mass,valid,mean,chemprop,none,none,none,True,56,50,0.1,1,3,5,0.5,0.44607,1.10544,0.8581,0.68212
