challenge,chem_fp,groupsplit,conctype,set,fold,chem_prop,tax_pdm,tax_prop,exp,best_hp,idx_hp,n_estimators,max_depth,max_features,max_samples,min_samples_leaf,min_samples_split,r2,rmse,mae,pearson
t-F2F,Morgan,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,74,150,100,sqrt,0.25,1,2,0.61934,1.01738,0.77163,0.81378
t-F2F,Morgan,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,97,100,100,sqrt,1.0,1,2,0.96084,0.30368,0.18096,0.98036
t-F2F,Morgan,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,97,100,100,sqrt,1.0,1,2,0.57034,0.99962,0.75763,0.78703
t-F2F,ToxPrint,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,99,300,100,sqrt,1.0,1,2,0.96927,0.28801,0.17621,0.98471
t-F2F,ToxPrint,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,99,300,100,sqrt,1.0,1,2,0.90622,0.50254,0.31667,0.95201
t-F2F,ToxPrint,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,171,300,200,sqrt,1.0,1,2,0.96395,0.28771,0.1761,0.98208
t-F2F,ToxPrint,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,171,300,200,sqrt,1.0,1,2,0.88988,0.50221,0.31624,0.94339
t-F2F,ToxPrint,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,99,300,100,sqrt,1.0,1,2,0.96123,0.30218,0.17999,0.98057
t-F2F,ToxPrint,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,99,300,100,sqrt,1.0,1,2,0.58099,0.98689,0.74691,0.79165
t-F2F,ToxPrint,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,14,150,50,sqrt,0.5,1,2,0.95423,0.35566,0.2265,0.97719
t-F2F,ToxPrint,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,14,150,50,sqrt,0.5,1,2,0.63497,0.99782,0.75482,0.82421
t-F2F,mol2vec,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,99,300,100,sqrt,1.0,1,2,0.96931,0.28782,0.17476,0.98467
t-F2F,mol2vec,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,99,300,100,sqrt,1.0,1,2,0.90591,0.50332,0.313,0.95182
t-F2F,mol2vec,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,27,300,50,sqrt,1.0,1,2,0.96392,0.28781,0.1746,0.98198
t-F2F,mol2vec,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,27,300,50,sqrt,1.0,1,2,0.88966,0.50266,0.31296,0.94325
t-F2F,mol2vec,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,31,300,50,sqrt,1.0,1,5,0.94865,0.34779,0.21777,0.97416
t-F2F,mol2vec,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,31,300,50,sqrt,1.0,1,5,0.52958,1.04631,0.79734,0.7777
t-F2F,mol2vec,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,170,150,200,sqrt,1.0,1,2,0.96685,0.30265,0.17921,0.98335
t-F2F,mol2vec,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,170,150,200,sqrt,1.0,1,2,0.59127,1.05628,0.79901,0.80959
t-F2F,Mordred,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,99,300,100,sqrt,1.0,1,2,0.96344,0.28972,0.1756,0.98172
t-F2F,Mordred,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,99,300,100,sqrt,1.0,1,2,0.88914,0.50377,0.31328,0.94298
t-F2F,Mordred,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,170,150,200,sqrt,1.0,1,2,0.96865,0.29094,0.17624,0.98432
t-F2F,Mordred,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,170,150,200,sqrt,1.0,1,2,0.90547,0.50447,0.31389,0.9516
t-F2F,Mordred,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,151,300,200,sqrt,0.25,1,5,0.9198,0.47074,0.31001,0.95952
t-F2F,Mordred,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,151,300,200,sqrt,0.25,1,5,0.60119,1.04171,0.80033,0.80691
t-F2F,Mordred,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,96,50,100,sqrt,1.0,1,2,0.95989,0.30734,0.18187,0.97983
t-F2F,Mordred,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,96,50,100,sqrt,1.0,1,2,0.5323,1.03862,0.79245,0.7677
