challenge,chem_fp,groupsplit,conctype,set,fold,chem_prop,tax_pdm,tax_prop,exp,best_hp,idx_hp,alpha,r2,rmse,mae,pearson
t-F2F,ToxPrint,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,14,0.00631,0.55509,1.10191,0.84287,0.7613
t-F2F,mol2vec,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,7,0.00025,0.79135,0.75055,0.54092,0.88958
t-F2F,mol2vec,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,7,0.00025,0.7778,0.77399,0.55467,0.88204
t-F2F,mol2vec,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,5,0.0001,0.75591,0.74861,0.53961,0.86943
t-F2F,mol2vec,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,5,0.0001,0.73926,0.77316,0.55391,0.85997
t-F2F,mol2vec,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,19,0.0631,0.60977,0.95896,0.70959,0.78085
t-F2F,mol2vec,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,19,0.0631,0.5305,1.04429,0.78364,0.73271
t-F2F,mol2vec,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,19,0.0631,0.66695,0.95943,0.70952,0.81665
t-F2F,mol2vec,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,19,0.0631,0.59057,1.05629,0.79184,0.7723
t-F2F,Mordred,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,5,0.0001,0.77949,0.71153,0.51383,0.88289
t-F2F,Mordred,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,5,0.0001,0.76038,0.74112,0.5303,0.87217
t-F2F,Mordred,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,6,0.00016,0.80871,0.71863,0.52047,0.89928
t-F2F,Mordred,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,6,0.00016,0.79469,0.74389,0.53539,0.89158
t-F2F,Mordred,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,21,0.15849,0.65276,0.97929,0.73841,0.80786
t-F2F,Mordred,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,21,0.15849,0.55337,1.10172,0.84353,0.75165
t-F2F,Mordred,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,20,0.1,0.61139,0.95672,0.71781,0.78184
t-F2F,Mordred,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,20,0.1,0.48811,1.08848,0.83091,0.70796
