challenge,chem_fp,groupsplit,conctype,set,fold,chem_prop,tax_pdm,tax_prop,exp,best_hp,idx_hp,alpha,r2,rmse,mae,pearson
s-F2F-1,mol2vec,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,20,0.1,0.59737,0.94612,0.70239,0.77282
s-F2F-1,mol2vec,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,20,0.1,0.47683,1.05697,0.79874,0.70508
s-F2F-1,mol2vec,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,20,0.1,0.6572,0.93803,0.69552,0.81063
s-F2F-1,mol2vec,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,20,0.1,0.55134,1.05382,0.8052,0.7541
s-F2F-1,Mordred,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,8,0.0004,0.8733,0.56686,0.40666,0.93451
s-F2F-1,Mordred,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,8,0.0004,0.79895,0.71274,0.47922,0.89598
s-F2F-1,Mordred,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,8,0.0004,0.85368,0.56631,0.40583,0.92395
s-F2F-1,Mordred,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,8,0.0004,0.76786,0.71185,0.47814,0.87915
s-F2F-1,Mordred,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,20,0.1,0.65244,0.87874,0.66237,0.80764
s-F2F-1,Mordred,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,20,0.1,0.49262,1.03863,0.80929,0.70787
s-F2F-1,Mordred,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,18,0.03981,0.75131,0.79916,0.59298,0.86677
s-F2F-1,Mordred,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,18,0.03981,0.55179,1.05148,0.82415,0.75056
s-F2F-1,none,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,0,1e-05,0.41586,1.13159,0.8844,0.64487
s-F2F-1,none,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,0,1e-05,0.41039,1.13565,0.88741,0.64139
s-F2F-1,none,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,0,1e-05,0.49678,1.12979,0.88066,0.70482
s-F2F-1,none,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,0,1e-05,0.49198,1.13382,0.88378,0.70201
s-F2F-1,none,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,16,0.01585,0.42262,1.13306,0.87238,0.64984
s-F2F-1,none,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,16,0.01585,0.36475,1.16474,0.89812,0.61851
s-F2F-1,none,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,15,0.01,0.50203,1.13057,0.86859,0.70838
s-F2F-1,none,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,15,0.01,0.45084,1.16366,0.89341,0.68423
