feature,value,set,chem_prop,tax_pdm,tax_prop,exp,challenge,chem_fp,conctype,groupsplit,alpha,fold
test_exposure_type_S,0.27396,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
test_media_type_SW,-0.26627,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
result_obs_duration_mean,-0.09401,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
chem_mw,-0.69861,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
chem_mp,-0.18279,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
chem_ws,-0.03953,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
chem_rdkit_clogp,-0.57675,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
tax_eco_food_D,0.01502,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
tax_eco_food_H,0.24472,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
tax_eco_food_O,0.16243,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
tax_eco_food_P,-0.31036,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
tax_eco_climate_A,0.29026,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
tax_eco_climate_C,0.17265,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
tax_eco_climate_D,-0.10506,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
tax_eco_climate_M,-0.03254,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
tax_eco_ecozone_MA,-0.10851,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
tax_eco_ecozone_MC,-0.37994,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
tax_eco_ecozone_MP,0.12578,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
tax_eco_ecozone_TA,-0.19859,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
tax_eco_ecozone_TH,0.17823,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
tax_eco_ecozone_TN,-0.11863,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
tax_ps_ampv,0.0153,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
tax_ps_ampkap,-0.02218,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
tax_ps_amppm,0.01934,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
tax_lh_amd,-0.0562,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
tax_lh_licm,0.02738,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
intercept,-0.28018,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
result_conc1_type_F,0.1122,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
result_conc1_type_T,-1.41171,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
test_exposure_type_NR,0.3023,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
test_exposure_type_R,0.30168,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
test_exposure_type_S,0.29103,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
test_media_type_SW,-0.29315,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
result_obs_duration_mean,-0.0998,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
chem_mw,-0.58724,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
chem_mp,-0.10728,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
chem_ws,-0.07157,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
chem_rdkit_clogp,-0.53697,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
tax_eco_food_C,0.06893,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
tax_eco_food_D,0.18461,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
tax_eco_food_H,0.0887,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
tax_eco_food_O,0.13376,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
tax_eco_food_P,-0.1868,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
tax_eco_climate_A,0.17799,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
tax_eco_climate_B,-0.03581,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
tax_eco_climate_C,0.16711,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
tax_eco_climate_D,-0.09025,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
tax_eco_climate_M,0.00128,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
tax_eco_ecozone_MA,-0.16756,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
tax_eco_ecozone_MC,-0.45105,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
tax_eco_ecozone_MI,-0.62749,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
tax_eco_ecozone_MN,-1.00846,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
tax_eco_ecozone_MP,0.07286,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
tax_eco_ecozone_TA,-0.28087,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
tax_eco_ecozone_TH,0.13267,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
tax_eco_ecozone_TN,-0.07147,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
tax_eco_ecozone_TP,0.10857,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
tax_ps_ampv,0.0084,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
tax_ps_ampkap,-0.00589,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
tax_ps_amppm,0.00783,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
tax_lh_amd,-0.07536,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
tax_lh_licm,0.02783,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
intercept,-0.24169,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,occurrence,0.001,trainvalid
result_conc1_type_F,0.08324,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,occurrence,0.001,trainvalid
result_conc1_type_T,-1.65202,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,occurrence,0.001,trainvalid
test_exposure_type_NR,0.29753,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,occurrence,0.001,trainvalid
test_exposure_type_R,0.26773,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,occurrence,0.001,trainvalid
test_exposure_type_S,0.28033,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,occurrence,0.001,trainvalid
test_media_type_SW,-0.26684,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,occurrence,0.001,trainvalid
result_obs_duration_mean,-0.09232,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,occurrence,0.001,trainvalid
chem_mw,-0.51455,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,occurrence,0.001,trainvalid
chem_mp,-0.17063,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,occurrence,0.001,trainvalid
chem_ws,-0.07499,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,occurrence,0.001,trainvalid
chem_rdkit_clogp,-0.58236,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,occurrence,0.001,trainvalid
tax_eco_food_D,0.00629,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,occurrence,0.001,trainvalid
tax_eco_food_H,0.24882,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,occurrence,0.001,trainvalid
tax_eco_food_O,0.16794,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,occurrence,0.001,trainvalid
tax_eco_food_P,-0.31082,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,occurrence,0.001,trainvalid
tax_eco_climate_A,0.28843,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,occurrence,0.001,trainvalid
tax_eco_climate_C,0.17481,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,occurrence,0.001,trainvalid
tax_eco_climate_D,-0.10768,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,occurrence,0.001,trainvalid
tax_eco_climate_M,-0.0188,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,occurrence,0.001,trainvalid
tax_eco_ecozone_MA,-0.11164,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,occurrence,0.001,trainvalid
tax_eco_ecozone_MC,-0.3912,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,occurrence,0.001,trainvalid
tax_eco_ecozone_MP,0.12029,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,occurrence,0.001,trainvalid
tax_eco_ecozone_TA,-0.19656,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,occurrence,0.001,trainvalid
tax_eco_ecozone_TH,0.1794,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,occurrence,0.001,trainvalid
tax_eco_ecozone_TN,-0.11706,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,occurrence,0.001,trainvalid
tax_ps_ampv,0.01471,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,occurrence,0.001,trainvalid
tax_ps_ampkap,-0.02202,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,occurrence,0.001,trainvalid
tax_ps_amppm,0.01774,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,occurrence,0.001,trainvalid
tax_lh_amd,-0.05375,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,occurrence,0.001,trainvalid
tax_lh_licm,0.02754,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,occurrence,0.001,trainvalid
intercept,-5.1057,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,totallyrandom,1e-05,trainvalid
result_conc1_type_F,0.09142,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,totallyrandom,1e-05,trainvalid
result_conc1_type_T,-0.7016,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,totallyrandom,1e-05,trainvalid
