challenge,chem_fp,groupsplit,conctype,set,fold,chem_prop,tax_pdm,tax_prop,exp,best_hp,idx_hp,n_inducing,tax_pdm,r2,rmse,mae,pearson
s-F2F-1,mol2vec,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,3,1000,none,0.93185,0.41569,0.27552,0.96541
s-F2F-1,mol2vec,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,3,1000,none,0.86503,0.58433,0.37915,0.93021
s-F2F-1,mol2vec,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,3,1000,none,0.91934,0.42321,0.28437,0.9589
s-F2F-1,mol2vec,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,3,1000,none,0.50765,1.01994,0.77867,0.72715
s-F2F-1,mol2vec,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,3,1000,none,0.93018,0.42302,0.28396,0.96452
s-F2F-1,mol2vec,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,3,1000,none,0.56166,1.02561,0.76909,0.76742
s-F2F-1,Mordred,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,2,500,none,0.90173,0.46406,0.31856,0.94979
s-F2F-1,Mordred,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,2,500,none,0.82999,0.60954,0.40324,0.91119
s-F2F-1,Mordred,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,3,1000,none,0.93048,0.41993,0.2793,0.96472
s-F2F-1,Mordred,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,3,1000,none,0.86456,0.5849,0.37579,0.92996
s-F2F-1,Mordred,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,2,500,none,0.92811,0.42921,0.2865,0.96345
s-F2F-1,Mordred,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,2,500,none,0.53228,1.06909,0.84474,0.74598
s-F2F-1,Mordred,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,1,250,none,0.87176,0.53377,0.3701,0.93391
s-F2F-1,Mordred,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,1,250,none,0.49813,1.03247,0.80034,0.72118
s-F2F-2,none,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,2,500,none,0.83982,0.58752,0.41863,0.91652
s-F2F-2,none,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,2,500,none,0.7942,0.66901,0.47007,0.89125
s-F2F-2,none,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,1,250,none,0.8362,0.65895,0.47595,0.91461
s-F2F-2,none,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,1,250,none,0.79837,0.73227,0.52067,0.89364
s-F2F-2,none,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,0,100,none,0.72465,0.75117,0.5364,0.85133
s-F2F-2,none,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,0,100,none,0.27965,1.19197,0.87259,0.59385
s-F2F-2,none,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,0,100,none,0.78265,0.73502,0.52155,0.88483
s-F2F-2,none,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,0,100,none,0.44261,1.15191,0.84733,0.69902
s-F2F-2,MACCS,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,3,1000,none,0.96046,0.29469,0.18052,0.98009
s-F2F-2,MACCS,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,3,1000,none,0.90837,0.44799,0.26795,0.95325
s-F2F-2,MACCS,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,3,1000,none,0.9672,0.29602,0.1813,0.9835
s-F2F-2,MACCS,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,3,1000,none,0.92387,0.45044,0.26823,0.9613
s-F2F-2,MACCS,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,2,500,none,0.95403,0.30759,0.19583,0.97688
s-F2F-2,MACCS,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,2,500,none,0.48013,1.01658,0.72256,0.73039
s-F2F-2,MACCS,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,1,250,none,0.93533,0.40124,0.27055,0.96721
s-F2F-2,MACCS,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,1,250,none,0.53631,1.06006,0.76224,0.76905
s-F2F-2,pcp,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,3,1000,none,0.96337,0.28362,0.17009,0.98156
s-F2F-2,pcp,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,3,1000,none,0.91222,0.43866,0.25569,0.95533
s-F2F-2,pcp,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,3,1000,none,0.96828,0.2907,0.17819,0.9841
s-F2F-2,pcp,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,3,1000,none,0.9237,0.451,0.26328,0.96135
s-F2F-2,pcp,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,1,250,none,0.93659,0.39686,0.26143,0.96785
s-F2F-2,pcp,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,1,250,none,0.54819,1.03211,0.72441,0.76817
s-F2F-2,pcp,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,1,250,none,0.92125,0.40326,0.26432,0.95996
s-F2F-2,pcp,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,1,250,none,0.45341,1.03387,0.70436,0.70877
s-F2F-2,Morgan,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,3,1000,none,0.97078,0.27942,0.16262,0.98531
s-F2F-2,Morgan,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,3,1000,none,0.91665,0.47082,0.26534,0.95763
s-F2F-2,Morgan,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,3,1000,none,0.96329,0.28395,0.17041,0.98153
s-F2F-2,Morgan,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,3,1000,none,0.89833,0.47139,0.26889,0.94805
s-F2F-2,Morgan,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,2,500,none,0.88278,0.42766,0.2867,0.93618
s-F2F-2,Morgan,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,2,500,none,0.33804,1.13249,0.82375,0.64021
s-F2F-2,Morgan,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,0,100,none,0.88336,0.53916,0.36452,0.9401
s-F2F-2,Morgan,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,0,100,none,0.54475,1.03828,0.739,0.7698
s-F2F-2,ToxPrint,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,2,500,none,0.93598,0.37498,0.25139,0.96759
s-F2F-2,ToxPrint,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,2,500,none,0.88944,0.49203,0.32019,0.94323
