challenge,chem_fp,groupsplit,conctype,set,fold,chem_prop,tax_pdm,tax_prop,exp,best_hp,idx_hp,n_estimators,eta,gamma,max_depth,min_child_weight,subsample,r2,rmse,mae,pearson
t-F2F,Morgan,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,199,100,0.2,1,3,3,1.0,0.61868,1.0188,0.7738,0.80513
t-F2F,Morgan,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,50,100,0.1,1,3,1,0.5,0.77005,0.7361,0.53943,0.88046
t-F2F,Morgan,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,50,100,0.1,1,3,1,0.5,0.55779,1.01435,0.76223,0.76225
t-F2F,ToxPrint,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,191,100,0.2,0,12,5,1.0,0.96803,0.29378,0.18213,0.98394
t-F2F,ToxPrint,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,191,100,0.2,0,12,5,1.0,0.90863,0.49584,0.31216,0.95325
t-F2F,ToxPrint,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,187,100,0.2,0,12,3,1.0,0.9655,0.28144,0.17004,0.98266
t-F2F,ToxPrint,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,187,100,0.2,0,12,3,1.0,0.89285,0.49513,0.30967,0.94495
t-F2F,ToxPrint,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,347,100,0.3,1,3,5,1.0,0.83783,0.61813,0.44006,0.91628
t-F2F,ToxPrint,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,347,100,0.3,1,3,5,1.0,0.56002,1.0128,0.77999,0.76852
t-F2F,ToxPrint,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,288,50,0.3,0,3,1,0.5,0.82538,0.69474,0.50654,0.90935
t-F2F,ToxPrint,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,288,50,0.3,0,3,1,0.5,0.62474,1.01084,0.77821,0.80289
t-F2F,mol2vec,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,179,100,0.2,0,9,5,1.0,0.96687,0.29904,0.18564,0.98335
t-F2F,mol2vec,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,179,100,0.2,0,9,5,1.0,0.90936,0.49402,0.31102,0.95362
t-F2F,mol2vec,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,179,100,0.2,0,9,5,1.0,0.96129,0.2981,0.1851,0.98052
t-F2F,mol2vec,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,179,100,0.2,0,9,5,1.0,0.89451,0.49139,0.30983,0.9458
t-F2F,mol2vec,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,46,100,0.1,0,12,5,0.5,0.95233,0.33509,0.21111,0.97596
t-F2F,mol2vec,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,46,100,0.1,0,12,5,0.5,0.56019,1.01121,0.7642,0.77433
t-F2F,mol2vec,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,74,100,0.1,1,9,1,0.5,0.94422,0.39264,0.26959,0.97195
t-F2F,mol2vec,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,74,100,0.1,1,9,1,0.5,0.60499,1.03921,0.78376,0.80895
t-F2F,Mordred,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,47,100,0.1,0,12,5,1.0,0.96228,0.29427,0.18026,0.98105
t-F2F,Mordred,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,47,100,0.1,0,12,5,1.0,0.89381,0.49307,0.30923,0.94544
t-F2F,Mordred,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,175,100,0.2,0,9,3,1.0,0.96535,0.30586,0.19317,0.98259
t-F2F,Mordred,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,175,100,0.2,0,9,3,1.0,0.90945,0.49369,0.31252,0.95367
t-F2F,Mordred,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,18,100,0.1,0,6,3,0.5,0.91973,0.47097,0.32838,0.95946
t-F2F,Mordred,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,18,100,0.1,0,6,3,0.5,0.65014,0.97408,0.7264,0.82065
t-F2F,Mordred,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,214,100,0.2,1,6,5,0.5,0.91965,0.43511,0.29884,0.9592
t-F2F,Mordred,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,214,100,0.2,1,6,5,0.5,0.56581,0.99925,0.76157,0.77314
