challenge,chem_fp,groupsplit,conctype,set,fold,chem_prop,tax_pdm,tax_prop,exp,best_hp,idx_hp,n_estimators,max_depth,max_features,max_samples,min_samples_leaf,min_samples_split,r2,rmse,mae,pearson
t-A2A,MACCS,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,30,150,50,sqrt,1.0,1,5,0.83455,0.57629,0.4159,0.9154
t-A2A,MACCS,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,30,150,50,sqrt,1.0,1,5,0.68322,0.78824,0.57794,0.82795
t-A2A,MACCS,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,84,50,100,sqrt,0.5,1,2,0.80526,0.62006,0.43974,0.89887
t-A2A,MACCS,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,84,50,100,sqrt,0.5,1,2,0.47967,1.02058,0.77717,0.71492
t-F2F,MACCS,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,168,50,200,sqrt,1.0,1,2,0.95939,0.301,0.17885,0.9796
t-F2F,MACCS,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,168,50,200,sqrt,1.0,1,2,0.58259,0.95822,0.73509,0.77721
t-C2C,MACCS,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,98,150,100,sqrt,1.0,1,2,0.94182,0.4536,0.25941,0.97077
t-C2C,MACCS,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,98,150,100,sqrt,1.0,1,2,0.67658,1.04947,0.75986,0.83233
t-F2F,MACCS,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,171,300,200,sqrt,1.0,1,2,0.96632,0.29778,0.1767,0.98311
t-F2F,MACCS,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,171,300,200,sqrt,1.0,1,2,0.64165,0.96372,0.74202,0.81362
t-A2A,MACCS,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,160,50,200,sqrt,0.5,1,5,0.77154,0.65732,0.47593,0.88072
t-A2A,MACCS,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,160,50,200,sqrt,0.5,1,5,0.47299,1.00399,0.78273,0.71553
t-C2C,MACCS,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,169,100,200,sqrt,1.0,1,2,0.94846,0.45434,0.25988,0.97411
t-C2C,MACCS,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,169,100,200,sqrt,1.0,1,2,0.70966,1.05625,0.77321,0.85158
t-C2C,pcp,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,171,300,200,sqrt,1.0,1,2,0.94977,0.44814,0.25913,0.97492
t-C2C,pcp,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,171,300,200,sqrt,1.0,1,2,0.8523,0.76691,0.47604,0.92354
t-F2F,pcp,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,27,300,50,sqrt,1.0,1,2,0.96427,0.2864,0.17423,0.98218
t-F2F,pcp,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,27,300,50,sqrt,1.0,1,2,0.89238,0.49645,0.31119,0.94468
t-A2A,pcp,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,31,300,50,sqrt,1.0,1,5,0.83033,0.58351,0.42329,0.91335
t-A2A,pcp,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,31,300,50,sqrt,1.0,1,5,0.67487,0.79874,0.58505,0.82308
t-C2C,pcp,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,171,300,200,sqrt,1.0,1,2,0.94312,0.448,0.25901,0.9716
t-C2C,pcp,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,171,300,200,sqrt,1.0,1,2,0.83309,0.76571,0.47593,0.91309
t-A2A,pcp,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,98,150,100,sqrt,1.0,1,2,0.86818,0.52607,0.36162,0.93287
t-A2A,pcp,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,98,150,100,sqrt,1.0,1,2,0.68439,0.80291,0.57903,0.82963
t-F2F,pcp,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,170,150,200,sqrt,1.0,1,2,0.96944,0.28722,0.17484,0.98475
t-F2F,pcp,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,170,150,200,sqrt,1.0,1,2,0.90861,0.49609,0.31158,0.95323
t-A2A,pcp,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,148,50,200,sqrt,0.25,1,5,0.72272,0.74156,0.54819,0.85431
t-A2A,pcp,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,148,50,200,sqrt,0.25,1,5,0.4269,1.07061,0.81863,0.6764
t-F2F,pcp,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,157,100,200,sqrt,0.5,1,2,0.94543,0.34897,0.22035,0.97271
t-F2F,pcp,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,157,100,200,sqrt,0.5,1,2,0.56855,0.97289,0.73901,0.77202
t-F2F,pcp,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,26,150,50,sqrt,1.0,1,2,0.96629,0.29794,0.17682,0.98308
t-F2F,pcp,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,26,150,50,sqrt,1.0,1,2,0.62632,0.98194,0.74937,0.80796
t-C2C,pcp,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,173,100,200,sqrt,1.0,1,5,0.93005,0.52972,0.32789,0.9648
t-C2C,pcp,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,173,100,200,sqrt,1.0,1,5,0.69544,1.07984,0.78494,0.84575
t-C2C,pcp,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,24,50,50,sqrt,1.0,1,2,0.94075,0.45773,0.262,0.97018
t-C2C,pcp,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,24,50,50,sqrt,1.0,1,2,0.67234,1.05471,0.75761,0.82639
t-A2A,pcp,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,76,50,100,sqrt,0.25,1,5,0.70855,0.74365,0.54832,0.84629
t-A2A,pcp,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,76,50,100,sqrt,0.25,1,5,0.42466,1.04858,0.80198,0.67472
t-A2A,Morgan,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,178,150,200,sqrt,1.0,1,10,0.8091,0.61915,0.45877,0.90352
t-A2A,Morgan,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,178,150,200,sqrt,1.0,1,10,0.68735,0.78351,0.58828,0.83126
t-A2A,Morgan,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,102,150,100,sqrt,1.0,1,5,0.84474,0.571,0.41267,0.9211
t-A2A,Morgan,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,102,150,100,sqrt,1.0,1,5,0.69503,0.79024,0.57913,0.83553
t-C2C,Morgan,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,99,300,100,sqrt,1.0,1,2,0.94316,0.44786,0.25975,0.97167
t-C2C,Morgan,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,99,300,100,sqrt,1.0,1,2,0.83369,0.76464,0.47896,0.91342
t-F2F,Morgan,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,27,300,50,sqrt,1.0,1,2,0.96931,0.28784,0.17595,0.98472
t-F2F,Morgan,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,27,300,50,sqrt,1.0,1,2,0.90593,0.50329,0.31641,0.95184
t-F2F,Morgan,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,171,300,200,sqrt,1.0,1,2,0.96388,0.28797,0.17598,0.98203
t-F2F,Morgan,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,171,300,200,sqrt,1.0,1,2,0.88941,0.50326,0.31652,0.94313
