challenge,chem_fp,groupsplit,conctype,set,fold,chem_prop,tax_pdm,tax_prop,exp,best_hp,idx_hp,n_inducing,tax_pdm,r2,rmse,mae,pearson
t-C2C,MACCS,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.59971,1.16804,0.8663,0.78461
t-F2F,MACCS,occurrence,molar,train,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,3,1000,pdm,0.86809,0.58937,0.4156,0.93175
t-F2F,MACCS,occurrence,molar,valid,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,3,1000,pdm,0.56731,1.05854,0.80093,0.77166
t-F2F,MACCS,occurrence,mass,train,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,1,250,pdm,0.7876,0.68846,0.49446,0.88754
t-F2F,MACCS,occurrence,mass,valid,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,1,250,pdm,0.49141,1.05792,0.79104,0.72629
t-F2F,MACCS,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,250,none,0.83026,0.66868,0.47906,0.91124
t-F2F,MACCS,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,250,none,0.58079,1.04453,0.80062,0.77425
t-C2C,MACCS,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.87114,0.71896,0.46554,0.93349
t-C2C,MACCS,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.66,1.1386,0.84207,0.81899
t-C2C,pcp,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,2,500,none,0.84003,0.79992,0.53815,0.91668
t-C2C,pcp,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,2,500,none,0.80518,0.88091,0.59866,0.89742
t-F2F,pcp,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.84083,0.60453,0.4241,0.91705
t-F2F,pcp,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.82025,0.6419,0.4489,0.90571
t-F2F,pcp,totallyrandom,mass,train,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,3,1000,pdm,0.83623,0.61318,0.43243,0.91454
t-F2F,pcp,totallyrandom,mass,valid,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,3,1000,pdm,0.81315,0.65444,0.45808,0.90178
t-C2C,pcp,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,2,500,none,0.8184,0.80068,0.53992,0.90487
t-C2C,pcp,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,2,500,none,0.77778,0.88392,0.60074,0.88211
t-F2F,pcp,totallyrandom,molar,train,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,3,1000,pdm,0.8597,0.61543,0.43457,0.92726
t-F2F,pcp,totallyrandom,molar,valid,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,3,1000,pdm,0.84169,0.65327,0.45856,0.91746
t-F2F,pcp,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.86483,0.6041,0.42361,0.93001
t-F2F,pcp,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.84616,0.64397,0.44986,0.91989
t-F2F,pcp,occurrence,mass,train,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,1,250,pdm,0.79682,0.67337,0.48208,0.89273
t-F2F,pcp,occurrence,mass,valid,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,1,250,pdm,0.45121,1.09597,0.85397,0.71333
t-F2F,pcp,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,250,none,0.80944,0.65222,0.46495,0.89978
